type,beta,h,m,q0,q1,p,err,complexity_p1,average,replicon,entropy,computed_m
finite M,8.2,-0.5029257951631214,0.38,0.3015423175979103,0.30154236181015187,5020.356777524604,9.921992145771588e-7,9.695984015678505e-10,3.044111749887039,0.0012427598395385112,0.14805438972454166,0.38000072193847045
finite M,8.3,-0.5029789701780889,0.38,0.3025015053894087,0.30250182501995126,801.1849814802797,9.962485888796102e-7,1.5404302278199111e-9,3.049133583474656,0.0010605287230081965,0.1450537966569394,0.38000072314891664
finite M,8.4,-0.5030306804749363,0.38,0.3034464575477791,0.30344833212949723,158.86496953158502,9.919094185639374e-7,2.2812458588816753e-9,3.054007676809123,0.000887957706264049,0.1421048816094972,0.38000070950272524
finite M,8.5,-0.5030811633860113,0.38,0.30437695016200084,0.30438600269572574,38.7322920843623,9.978450656124939e-7,3.2778444403191997e-9,3.0587408406564047,0.0007254240372183817,0.13920550426957345,0.38000067420356365
finite M,8.6,-0.5031266098156656,0.38,0.30526578672021465,0.3052996703930193,11.74157500112484,9.991627173176154e-7,4.524401964189906e-9,3.063304712481736,0.0005698826815503568,0.13637527036697272,0.3800005734174912
finite M,8.7,-0.5031631344082267,0.38,0.30607943401704096,0.3061775117628113,4.346037679764082,9.986894372626225e-7,6.58095267169756e-9,3.0676721491439496,0.0004194064136697831,0.1336339102832076,0.3800004040759147
finite M,8.8,-0.5031897500505705,0.38,0.3068001100149235,0.30703924072003197,1.9023667439958691,9.96533527543603e-7,1.0991705101659477e-8,3.0718428727349183,0.00027891976462350414,0.1309848853206248,0.380000220306396
finite M,8.9,-0.5032048552237651,0.38,0.30740173597665826,0.30796291019650485,1.000009853529545,9.988432926547433e-7,2.359221240588738e-8,3.0758114091336406,0.0001669618439786684,0.1284350599311732,0.3800000799335932
finite M,9.0,-0.5032023852397369,0.38,0.307811345975279,0.30903883144535665,0.6792499620305893,9.995553841085863e-7,-2.317392500117421e-8,3.079527724917521,0.00010448170673770484,0.12602051456687757,0.380000006014414
finite M,9.1,-0.5031892249415306,0.38,0.30805077263945446,0.31023895205548985,0.5693178198335912,9.99931998340698e-7,-5.429061065154173e-7,3.083037091991114,7.935337299421093e-5,0.1237159118221085,0.3800000265907519
finite M,9.2,-0.5031774010352391,0.38,0.308225672485732,0.31145484825472214,0.5235685651169499,9.973030732702296e-7,-2.1109174834776923e-6,3.0864323235951407,6.237135244467618e-5,0.12146287907407194,0.3800000407988706
finite M,9.3,-0.5031692595978955,0.38,0.3083717136167062,0.31266771657816306,0.5003922650556462,9.930726523158827e-7,-5.284216351153503e-6,3.089734310301531,4.9095514027810636e-5,0.1192488458880765,0.380000051199369
finite M,9.4,-0.5031644959269936,0.38,0.3085018940830315,0.31386880830370073,0.4869489696955039,9.991409233505247e-7,-1.0569688493333729e-5,3.0929439121759477,3.814424736538549e-5,0.11707431393974521,0.38000005923612135
finite M,9.5,-0.5031623675542167,0.38,0.3086223387303541,0.3150502718004516,0.47812761957996086,9.979371847073333e-7,-1.8429609960568527e-5,3.0960594991711403,2.8356118026129015e-5,0.11494151391756469,0.3800000653624282
finite M,9.6,-0.503162171433609,0.38,0.3087359096568625,0.3162090028239419,0.4718050005085384,9.906837692550397e-7,-2.928359770337785e-5,3.0990797123496985,1.940644510190978e-5,0.11285257415049665,0.38000007006554115
finite M,9.7,-0.5031633423024385,0.38,0.30884388695198667,0.3173440419330384,0.4669680293541908,9.936873288438994e-7,-4.351106626132584e-5,3.1020040560160913,1.1251362632590939e-5,0.11080909275591444,0.3800000739469052
finite M,9.8,-0.5031654835453426,0.38,0.3089473068507042,0.3184528909225676,0.4629628861794116,9.910426091580648e-7,-6.145372614785316e-5,3.10483388184887,3.447156719202024e-6,0.10881140753335172,0.38000007687972087
finite M,9.9,-0.5031682951800073,0.38,0.30904677599973474,0.3195356689815447,0.45951309072304103,9.922033373486677e-7,-8.34183658937615e-5,3.1075707584575003,-4.006431983184441e-6,0.10685969462281064,0.38000007921482815
finite M,10.0,-0.5031715682385902,0.38,0.309142703211803,0.3205919759561155,0.4564143655175876,9.942156272973045e-7,-0.00010967951030860235,3.110217063606586,-1.1254221041563997e-5,0.10495353143003827,0.3800000809547403
