type,beta,h,m,q0,q1,p,err,beta_p1,h_p1,m_p1,q0_p1,q1_p1,p_p1,err_p1
finite M,29.0,-0.29361017108571147,0.5,0.4465458288303705,0.49032079173438253,0.2414517374396673,9.707683920553337e-7,29.0,-0.5398199063491229,0.5,0.4627708853688855,0.49968892738191834,1.0,9.856980824650393e-7
finite M,29.5,-0.2937198009334804,0.5,0.4465989248931521,0.4905601819259724,0.23823765648491987,9.84207267536489e-7,29.5,-0.5488093997912669,0.5,0.46279242925352543,0.49973441515900374,1.0,9.74776828180593e-7
finite M,30.0,-0.2938327350118185,0.5,0.4466471445391079,0.49078700670644143,0.23506597238078453,9.742781570381993e-7,30.0,-0.5578264313214176,0.5,0.46281141908237816,0.4997737248727383,1.0,9.6456637946857e-7
finite M,30.5,-0.29395094688604684,0.5,0.4466944333157213,0.4910030884621426,0.23197710433053595,9.888946358564478e-7,30.5,-0.5668682779649106,0.5,0.46282815901641866,0.49980768238375983,1.0,9.550569309087831e-7
finite M,31.0,-0.2940719751935479,0.5,0.446736841602946,0.4912081000477138,0.22892649815646024,9.79110596862144e-7,31.0,-0.5759324735575753,0.5,0.4628429170258884,0.4998370286633867,1.0,9.462332336143768e-7
finite M,31.5,-0.29419767420443393,0.5,0.44677845755754253,0.49140377169806865,0.22595492417201957,9.938992910623147e-7,31.5,-0.5850097988316673,0.5,0.46285636341201886,0.4998628184046565,1.0,9.978610081956515e-7
finite M,32.0,-0.29432569145273396,0.5,0.44681525377436404,0.49158966706069357,0.2230184960302754,9.841022846046503e-7,32.0,-0.594112103634963,0.5,0.4628678375736708,0.49988469216165227,1.0,9.895597764724716e-7
finite M,32.5,-0.2944576704390098,0.5,0.44685141424247815,0.49176743648666743,0.22015783810718148,9.989646802679482e-7,32.5,-0.6032307292685624,0.5,0.462877954326813,0.49990348161204845,1.0,9.815087235771196e-7
finite M,33.0,-0.2945915159828407,0.5,0.44688281743544234,0.4919365326473326,0.2173294486972806,9.891817799054726e-7,33.0,-0.6123639749514825,0.5,0.46288687838127857,0.49991954446825887,1.0,9.74128948931667e-7
finite M,33.5,-0.29472777617331214,0.5,0.4469111190806569,0.4920978626301747,0.21454831790583426,9.739552295577403e-7,33.5,-0.6215103509548361,0.5,0.46289475207824377,0.4999332240006452,1.0,9.674048151491782e-7
finite M,34.0,-0.2948670273882371,0.5,0.446939348116193,0.4922526638317981,0.21184180165858457,9.872438004356618e-7,34.0,-0.6306685130246978,0.5,0.4629017008289976,0.49994486323681564,1.0,9.613186411066944e-7
