type,beta,h,m,q0,q1,p,err,beta_p1,h_p1,m_p1,q0_p1,q1_p1,p_p1,err_p1
small M,140.95220642024196,-0.2479309601378971,0.005,2.8247606523130096e-5,0.004749489824459944,0.44182290945457675,9.196467852776624e-7,140.95220642024196,-0.27744467479432516,0.005,0.00317849787934691,0.004987660400536957,1.0,9.248325747719391e-7
small M,141.2777311463857,-0.2479333518136842,0.005,2.8247570367635903e-5,0.004750346580932791,0.44078389404548307,9.184274034862936e-7,141.2777311463857,-0.27751576047324106,0.005,0.0031828179460953255,0.004987842083028242,1.0,9.29079291403403e-7
small M,141.60325587252945,-0.24793576807344925,0.005,2.8247536543902395e-5,0.004751196930079101,0.43974989340058634,9.171927899583874e-7,141.60325587252945,-0.2775871967555998,0.005,0.0031871038867549825,0.004988021322840428,1.0,9.422032916762359e-7
small M,141.9287805986732,-0.24793820894483726,0.005,2.8247505037278385e-5,0.004752040935182323,0.43872087006961286,9.159430235036331e-7,141.9287805986732,-0.2776589836445902,0.005,0.00319135603965605,0.004988198150810828,1.0,9.587961709578608e-7
small M,142.25430532481695,-0.24794067445366624,0.005,2.824747583328468e-5,0.0047528786587462514,0.4376967869891836,9.146781757347334e-7,142.25430532481695,-0.2777311211487363,0.005,0.0031955747382819352,0.004988372597467413,1.0,9.75175764264848e-7
small M,142.57983005096068,-0.24794316462394939,0.005,2.8247448917610807e-5,0.004753710162507076,0.43667760747765705,9.133983257005984e-7,142.57983005096068,-0.277803609286771,0.005,0.003199760311261041,0.004988544692968017,1.0,9.913482579436463e-7
small M,142.90535477710444,-0.2479456794779078,0.005,2.8247424276110683e-5,0.004754535507445078,0.4356632952299804,9.121035420146791e-7,142.90535477710444,-0.27787660071374004,0.005,0.0032039100447870976,0.004988710106944859,1.0,9.481134088660123e-7
small M,143.2308795032482,-0.24794821903599054,0.005,2.8247401894799754e-5,0.004755354753796253,0.43465381431269634,9.107939040851241e-7,143.2308795032482,-0.2779497984797935,0.005,0.0032080301801175114,0.00498887749545917,1.0,9.60970062021688e-7
small M,143.55640422939194,-0.24795078331688825,0.005,2.8247381759851307e-5,0.004756167961063602,0.433649129158975,9.09469483763296e-7,143.55640422939194,-0.2780233421305794,0.005,0.0032121182446775342,0.004989042689760386,1.0,9.755338226043604e-7
small M,143.88192895553567,-0.24795337233755066,0.005,2.82473638575926e-5,0.004756975188028247,0.4326492045637571,9.081303512210705e-7,143.88192895553567,-0.27809723641646955,0.005,0.003216174455142745,0.0049892056518755085,1.0,9.89988215710386e-7
small M,144.2074536816794,-0.24795598611320355,0.005,2.8247348174502835e-5,0.004757776492760421,0.4316540056789906,9.067765826272784e-7,144.2074536816794,-0.2781716366377579,0.005,0.0032201960703374635,0.004989362318790279,1.0,9.452132790500524e-7
